Date,CO2 [ppm],seasonally adj [ppm],CO2 filled [ppm]
1958-12-31,315.33375,315.30249999999995,315.236
1959-12-31,315.9816666666667,315.9766666666667,315.9816666666667
1960-12-31,316.90916666666664,316.9066666666667,316.90916666666664
1961-12-31,317.6433333333334,317.6383333333333,317.6433333333334
1962-12-31,318.4541666666667,318.4491666666667,318.4541666666667
1963-12-31,318.9925,318.9866666666667,318.9925
1964-12-31,319.2011111111111,319.6777777777777,319.6183333333333
1965-12-31,320.0366666666667,320.03,320.0366666666667
1966-12-31,321.3691666666666,321.3641666666667,321.3691666666666
1967-12-31,322.18083333333334,322.17333333333335,322.18083333333334
1968-12-31,323.05,323.0466666666667,323.05
1969-12-31,324.6225,324.6175,324.6225
1970-12-31,325.6816666666667,325.6775,325.6816666666667
1971-12-31,326.32,326.3116666666666,326.32
1972-12-31,327.45666666666665,327.455,327.45666666666665
1973-12-31,329.68083333333334,329.675,329.68083333333334
1974-12-31,330.25083333333333,330.24583333333334,330.25083333333333
1975-12-31,331.1616666666667,331.1558333333333,331.1616666666667
1976-12-31,332.16166666666663,332.1591666666667,332.16166666666663
1977-12-31,333.9108333333333,333.90416666666664,333.9108333333333
1978-12-31,335.5158333333333,335.5083333333334,335.5158333333333
1979-12-31,336.86083333333335,336.85499999999996,336.86083333333335
1980-12-31,338.69916666666666,338.69750000000005,338.69916666666666
1981-12-31,339.95166666666665,339.9458333333333,339.95166666666665
1982-12-31,341.15083333333337,341.14666666666665,341.15083333333337
1983-12-31,342.79833333333335,342.7916666666667,342.79833333333335
1984-12-31,344.4991666666667,344.49583333333334,344.4991666666667
1985-12-31,345.89000000000004,345.885,345.89000000000004
1986-12-31,347.1325,347.12833333333333,347.1325
1987-12-31,348.8566666666666,348.84999999999997,348.8566666666666
1988-12-31,351.2416666666666,351.2383333333333,351.2416666666666
1989-12-31,352.7075,352.7008333333334,352.7075
1990-12-31,353.9916666666666,353.9866666666667,353.9916666666666
1991-12-31,355.3933333333334,355.3875,355.3933333333334
1992-12-31,356.1733333333334,356.17083333333335,356.1733333333334
1993-12-31,356.84666666666664,356.84083333333336,356.84666666666664
1994-12-31,358.715,358.7083333333333,358.715
1995-12-31,360.7291666666667,360.7233333333333,360.7291666666667
1996-12-31,362.5116666666666,362.5058333333334,362.5116666666666
1997-12-31,363.64916666666664,363.64166666666665,363.64916666666664
1998-12-31,366.52333333333337,366.51833333333326,366.52333333333337
1999-12-31,368.215,368.2083333333333,368.215
2000-12-31,369.38416666666666,369.38333333333327,369.38416666666666
2001-12-31,370.93833333333345,370.9316666666666,370.93833333333345
2002-12-31,373.0225,373.01666666666665,373.0225
2003-12-31,375.57250000000005,375.5641666666667,375.57250000000005
2004-12-31,377.3066666666667,377.3033333333333,377.3066666666667
2005-12-31,379.56750000000005,379.5591666666666,379.56750000000005
2006-12-31,381.7733333333333,381.7675000000001,381.7733333333333
2007-12-31,383.5633333333333,383.55750000000006,383.5633333333333
2008-12-31,385.41916666666674,385.4166666666667,385.41916666666674
2009-12-31,387.3441666666667,387.33666666666676,387.3441666666667
2010-12-31,389.91416666666663,389.9083333333333,389.91416666666663
2011-12-31,391.69583333333327,391.6875,391.69583333333327
2012-12-31,393.9475,393.94416666666666,393.9475
2013-12-31,396.6499999999999,396.64416666666665,396.6499999999999
2014-12-31,398.7083333333333,398.6991666666667,398.7083333333333
2015-12-31,400.8674999999999,400.85999999999996,400.8674999999999
2016-12-31,404.2091666666667,404.2049999999999,404.2091666666667
2017-12-31,406.51500000000004,406.51,406.51500000000004
2018-12-31,408.52833333333336,408.5208333333334,408.52833333333336
2019-12-31,411.425,411.4191666666666,411.425
2020-12-31,413.9466666666667,413.94416666666666,413.9466666666667
2021-12-31,416.50666666666666,415.73888888888894,416.50666666666666
