Date,CO2 [ppm],seasonally adj [ppm],CO2 filled [ppm]
1958-01-01,,,
1958-02-01,,,
1958-03-01,315.71,314.43,315.71
1958-04-01,317.45,315.16,317.45
1958-05-01,317.51,314.71,317.51
1958-06-01,,,317.25
1958-07-01,315.86,315.2,315.86
1958-08-01,314.93,316.2,314.93
1958-09-01,313.21,316.09,313.21
1958-10-01,,,312.44
1958-11-01,313.33,315.2,313.33
1958-12-01,314.67,315.43,314.67
1959-01-01,315.58,315.54,315.58
1959-02-01,316.49,315.85,316.49
1959-03-01,316.65,315.37,316.65
1959-04-01,317.72,315.42,317.72
1959-05-01,318.29,315.48,318.29
1959-06-01,318.15,316.02,318.15
1959-07-01,316.54,315.87,316.54
1959-08-01,314.8,316.07,314.8
1959-09-01,313.84,316.73,313.84
1959-10-01,313.33,316.33,313.33
1959-11-01,314.81,316.69,314.81
1959-12-01,315.58,316.35,315.58
1960-01-01,316.43,316.39,316.43
1960-02-01,316.98,316.34,316.98
1960-03-01,317.58,316.27,317.58
1960-04-01,319.03,316.7,319.03
1960-05-01,320.03,317.22,320.03
1960-06-01,319.59,317.47,319.59
1960-07-01,318.18,317.53,318.18
1960-08-01,315.9,317.21,315.9
1960-09-01,314.17,317.08,314.17
1960-10-01,313.83,316.83,313.83
1960-11-01,315.0,316.88,315.0
1960-12-01,316.19,316.96,316.19
1961-01-01,316.89,316.85,316.89
1961-02-01,317.7,317.07,317.7
1961-03-01,318.54,317.25,318.54
1961-04-01,319.48,317.16,319.48
1961-05-01,320.58,317.75,320.58
1961-06-01,319.77,317.63,319.77
1961-07-01,318.56,317.89,318.56
1961-08-01,316.79,318.07,316.79
1961-09-01,314.99,317.9,314.99
1961-10-01,315.31,318.32,315.31
1961-11-01,316.1,317.99,316.1
1961-12-01,317.01,317.78,317.01
1962-01-01,317.94,317.9,317.94
1962-02-01,318.55,317.91,318.55
1962-03-01,319.68,318.39,319.68
1962-04-01,320.57,318.24,320.57
1962-05-01,321.02,318.18,321.02
1962-06-01,320.62,318.47,320.62
1962-07-01,319.61,318.94,319.61
1962-08-01,317.4,318.69,317.4
1962-09-01,316.25,319.17,316.25
1962-10-01,315.42,318.44,315.42
1962-11-01,316.69,318.59,316.69
1962-12-01,317.7,318.47,317.7
1963-01-01,318.74,318.7,318.74
1963-02-01,319.07,318.43,319.07
1963-03-01,319.86,318.56,319.86
1963-04-01,321.38,319.05,321.38
1963-05-01,322.25,319.4,322.25
1963-06-01,321.48,319.32,321.48
1963-07-01,319.74,319.06,319.74
1963-08-01,317.77,319.06,317.77
1963-09-01,316.21,319.14,316.21
1963-10-01,315.99,319.02,315.99
1963-11-01,317.07,318.97,317.07
1963-12-01,318.35,319.13,318.35
1964-01-01,319.57,319.53,319.57
1964-02-01,,,320.02
1964-03-01,,,320.75
1964-04-01,,,321.84
1964-05-01,322.25,319.39,322.25
1964-06-01,321.89,319.75,321.89
1964-07-01,320.44,319.78,320.44
1964-08-01,318.69,320.01,318.69
1964-09-01,316.71,319.66,316.71
1964-10-01,316.87,319.91,316.87
