Date,country,Year,total_ghg,ghg_per_capita,co2,co2_growth_prct,co2_growth_abs,co2_per_capita,co2_per_gdp,co2_per_unit_energy,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp
1958-01-01,World,1958,,,8412.113000000001,2.85,232.773,2.875,,,,,,,2925686680.0,,,,
1959-01-01,World,1959,,,8848.509,5.19,436.39599999999996,2.97,,,,,,,2979576147.0,,,,
1960-01-01,World,1960,,,9334.894,5.5,486.38599999999997,3.076,0.705,,,,,,3034949715.0,13245837922127.9,,,
1961-01-01,World,1961,,,9356.003,0.23,21.109,3.0260000000000002,,,,,,,3091843513.0,,,,
1962-01-01,World,1962,,,9687.509,3.54,331.506,3.075,,,,,,,3150420761.0,,,,
1963-01-01,World,1963,,,10236.030999999999,5.66,548.5219999999999,3.188,,,,,,,3211000946.0,,,,
1964-01-01,World,1964,,,10769.608999999999,5.21,533.578,3.29,,,,,,,3273978272.0,,,,
1965-01-01,World,1965,,,11269.288999999999,4.64,499.68,3.3739999999999997,,0.261,,,,,3339583510.0,,43247.517,12949.971000000001,2.574
1966-01-01,World,1966,,,11793.838,4.65,524.549,3.4610000000000003,,0.259,,,,,3407922631.0,,45582.596,13375.476999999999,2.575
1967-01-01,World,1967,,,12171.497,3.2,377.659,3.4989999999999997,,0.257,,,,,3478770104.0,,47298.513,13596.333,2.571
1968-01-01,World,1968,,,12835.996000000001,5.46,664.4989999999999,3.614,,0.256,,,,,3551599436.0,,50179.727999999996,14128.77,2.573
1969-01-01,World,1969,,,13691.841999999999,6.67,855.846,3.7760000000000002,,0.256,,,,,3625680965.0,,53571.509000000005,14775.572,2.6010000000000004
1970-01-01,World,1970,,,14826.863000000001,8.29,1135.02,4.007,0.68,0.26,,,,,3700437042.0,21814450843403.9,56946.457,15389.117,2.612
1971-01-01,World,1971,,,15425.831,4.04,598.969,4.085,,0.26,,,,,3775760030.0,,59265.924000000006,15696.423,2.5989999999999998
1972-01-01,World,1972,,,16142.605,4.65,716.7739999999999,4.191,,0.258,,,,,3851650588.0,,62481.337999999996,16221.962,2.603
1973-01-01,World,1973,,,17000.713,5.32,858.1080000000001,4.328,,0.257,,,,,3927780519.0,,66078.908,16823.47,2.571
1974-01-01,World,1974,,,16925.872,-0.44,-74.842,4.228,,0.255,,,,,4003794178.0,,66434.173,16592.805,2.488
1975-01-01,World,1975,,,16902.973,-0.14,-22.899,4.143,,0.253,,,,,4079480474.0,,66793.977,16373.159,2.447
1976-01-01,World,1976,,,17799.76,5.31,896.788,4.284,,0.253,,,,,4154666827.0,,70403.161,16945.56,2.4619999999999997
1977-01-01,World,1977,,,18287.936,2.74,488.176,4.324,,0.251,,,,,4229505919.0,,72985.271,17256.216,2.449
1978-01-01,World,1978,,,18958.832,3.67,670.8960000000001,4.404,,0.251,,,,,4304533599.0,,75542.854,17549.601000000002,2.4290000000000003
1979-01-01,World,1979,,,19464.238,2.67,505.406,4.4430000000000005,,0.249,,,,,4380506185.0,,78179.27799999999,17847.088,2.42
1980-01-01,World,1980,,,19369.452,-0.49,-94.786,4.345,0.608,0.25,,,,,4458003466.0,31880978928558.4,77628.384,17413.264,2.345
1981-01-01,World,1981,,,18841.367,-2.73,-528.085,4.1530000000000005,,0.244,,,,,4536996619.0,,77265.383,17030.072,2.313
1982-01-01,World,1982,,,18700.965,-0.75,-140.40200000000002,4.05,,0.244,,,,,4617386526.0,,76793.964,16631.477,2.292
1983-01-01,World,1983,,,18876.275,0.94,175.31,4.0169999999999995,,0.242,,,,,4699569187.0,,78038.587,16605.477,2.282
1984-01-01,World,1984,,,19426.234,2.91,549.9590000000001,4.061,,0.23800000000000002,,,,,4784011517.0,,81783.257,17095.12,2.31
1985-01-01,World,1985,,,20116.824,3.55,690.59,4.13,,0.24,,,,,4870921666.0,,83952.22,17235.385,2.3
1986-01-01,World,1986,,,20401.695,1.42,284.87,4.113,,0.23800000000000002,,,,,4960568000.0,,85800.94900000001,17296.598,2.27
1987-01-01,World,1987,,,21062.703999999998,3.24,661.0089999999999,4.169,,0.237,,,,,5052521998.0,,88795.377,17574.466,2.259
1988-01-01,World,1988,,,21865.971,3.81,803.2669999999999,4.25,,0.237,,,,,5145425994.0,,92187.866,17916.468999999997,2.248
1989-01-01,World,1989,,,22193.362,1.5,327.39099999999996,4.237,,0.23600000000000002,,,,,5237441434.0,,93975.615,17943.04,2.222
1990-01-01,World,1990,34967.34,6.564,22697.612,2.27,504.25,4.261,0.528,0.239,7415.58,1.392,2460.54,0.462,5327231041.0,43018246354000.0,95062.948,17844.721,2.201
