Date,Monthly,Mthly Unc
1750-01-01,1.967,3.241
1750-02-01,2.03,4.099
1750-03-01,5.429,2.276
1750-04-01,8.049,2.231
1750-05-01,9.69,2.38
1750-06-01,12.4,1.554
1750-07-01,14.13,3.145
1750-08-01,14.004,1.425
1750-09-01,10.957,1.212
1750-10-01,7.062,2.518
1750-11-01,1.597,
1750-12-01,0.55,3.705
1751-01-01,1.046,3.489
1751-02-01,0.242,3.575
1751-03-01,5.402,2.353
1751-04-01,6.893,1.905
1751-05-01,10.375,
1751-06-01,12.013,2.831
1751-07-01,15.321,
1751-08-01,13.543,1.33
1751-09-01,10.715,1.707
1751-10-01,6.544,4.425
1751-11-01,2.985,2.216
1751-12-01,1.584,
1752-01-01,-0.667,3.047
1752-02-01,5.288,
1752-03-01,5.414,2.297
1752-04-01,6.687,2.033
1752-05-01,11.224,
1752-06-01,13.745,
1752-07-01,15.118,
1752-08-01,12.802,
1752-09-01,,
1752-10-01,7.813,1.64
1752-11-01,5.994,2.274
1752-12-01,2.514,3.665
1753-01-01,1.75,3.239
1753-02-01,1.714,3.386
1753-03-01,5.95,3.996
1753-04-01,7.227,1.41
1753-05-01,11.108,1.333
1753-06-01,12.97,1.881
1753-07-01,13.993,1.951
1753-08-01,12.539,2.794
1753-09-01,10.519,2.517
1753-10-01,8.569,1.916
1753-11-01,4.794,2.269
1753-12-01,-0.426,4.272
1754-01-01,1.963,3.742
1754-02-01,0.274,3.816
1754-03-01,3.795,4.817
1754-04-01,11.41,1.788
1754-05-01,11.897,2.649
1754-06-01,13.348,3.271
1754-07-01,14.429,1.349
1754-08-01,12.167,2.441
1754-09-01,10.168,2.84
1754-10-01,9.174,2.091
1754-11-01,5.666,2.47
1754-12-01,3.324,2.584
1755-01-01,1.641,3.709
1755-02-01,0.792,3.268
1755-03-01,3.373,2.706
1755-04-01,8.201,1.582
1755-05-01,11.381,4.274
1755-06-01,13.859,2.696
1755-07-01,14.703,2.504
1755-08-01,12.188,1.38
1755-09-01,10.441,1.645
1755-10-01,10.962,2.755
1755-11-01,4.851,3.045
