YrMo,year,month,anomaly,total_uncertainty,lower_bound_95pct,upper_bound_95pct
1850.0833333333333,1850,1,-0.35138,0.14007,-0.453,-0.2695
1850.1666666666667,1850,2,-0.34437,0.13852,-0.4475,-0.2615
1850.25,1850,3,-0.58001,0.1506,-0.678,-0.5005
1850.3333333333333,1850,4,-0.34221999999999997,0.13522,-0.439,-0.263
1850.4166666666667,1850,5,-0.25093000000000004,0.12226,-0.3375,-0.181
1850.5,1850,6,-0.25486,0.13404000000000002,-0.341,-0.1825
1850.5833333333333,1850,7,-0.20818000000000003,0.12351,-0.296,-0.136
1850.6666666666667,1850,8,-0.31233,0.12127,-0.3995,-0.242
1850.75,1850,9,-0.34318000000000004,0.11724000000000001,-0.4385,-0.2685
1850.8333333333333,1850,10,-0.35998,0.12613,-0.4645,-0.2785
1850.9166666666667,1850,11,-0.13705,0.12080999999999999,-0.2435,-0.0525
1851.0,1850,12,-0.22955,0.12035,-0.3315,-0.1475
1851.0833333333333,1851,1,-0.27433,0.1207,-0.374,-0.1955
1851.1666666666667,1851,2,-0.29522,0.12595,-0.3935,-0.214
1851.25,1851,3,-0.25085999999999997,0.12372999999999999,-0.35,-0.1705
1851.3333333333333,1851,4,-0.42783999999999994,0.12816,-0.524,-0.3495
1851.4166666666667,1851,5,-0.28696,0.12611,-0.377,-0.214
1851.5,1851,6,-0.27375,0.13502999999999998,-0.3645,-0.1965
1851.5833333333333,1851,7,-0.17794000000000001,0.12696,-0.268,-0.1025
1851.6666666666667,1851,8,-0.239,0.12040999999999999,-0.3225,-0.174
1851.75,1851,9,-0.10052,0.13389,-0.187,-0.0335
1851.8333333333333,1851,10,-0.08082,0.1391,-0.178,-0.005
1851.9166666666667,1851,11,0.08083,0.13796,-0.0235,0.1605
1852.0,1851,12,0.00602,0.1342,-0.0925,0.0845
1852.0833333333333,1852,1,-0.31058,0.13061,-0.406,-0.2285
1852.1666666666667,1852,2,-0.43518,0.13057,-0.5295,-0.354
1852.25,1852,3,-0.35715,0.12844,-0.451,-0.274
1852.3333333333333,1852,4,-0.36138000000000003,0.12065,-0.4535,-0.2835
1852.4166666666667,1852,5,-0.2173,0.11942,-0.306,-0.1405
1852.5,1852,6,-0.044489999999999995,0.11382,-0.1295,0.033
1852.5833333333333,1852,7,0.03457,0.1304,-0.05,0.1105
1852.6666666666667,1852,8,-0.22614,0.12832000000000002,-0.3105,-0.153
1852.75,1852,9,-0.07795,0.12852,-0.165,-0.0055
1852.8333333333333,1852,10,-0.11410999999999999,0.11835,-0.2105,-0.0365
1852.9166666666667,1852,11,-0.0983,0.12174000000000001,-0.197,-0.016
1853.0,1852,12,0.00734,0.12295999999999999,-0.086,0.0885
1853.0833333333333,1853,1,-0.20432,0.11547,-0.2925,-0.1285
1853.1666666666667,1853,2,-0.18183,0.11241,-0.2725,-0.103
1853.25,1853,3,-0.0639,0.11300999999999999,-0.1505,0.0125
1853.3333333333333,1853,4,-0.21128000000000002,0.11785999999999999,-0.2965,-0.1385
1853.4166666666667,1853,5,-0.21796999999999997,0.11573,-0.3015,-0.1465
1853.5,1853,6,-0.13847,0.1106,-0.2195,-0.0675
1853.5833333333333,1853,7,-0.0932,0.10948,-0.1745,-0.023
1853.6666666666667,1853,8,-0.19805,0.10795999999999999,-0.2765,-0.13
1853.75,1853,9,-0.34993,0.11308,-0.4265,-0.287
1853.8333333333333,1853,10,-0.38368,0.10457000000000001,-0.4625,-0.318
1853.9166666666667,1853,11,-0.18185,0.10457999999999999,-0.2645,-0.114
1854.0,1853,12,-0.30726,0.10625,-0.3875,-0.2415
1854.0833333333333,1854,1,-0.22291999999999998,0.10368,-0.3045,-0.1515
1854.1666666666667,1854,2,-0.26708000000000004,0.10135,-0.3505,-0.196
1854.25,1854,3,-0.22376999999999997,0.10077,-0.3075,-0.1515
1854.3333333333333,1854,4,-0.26744,0.10438,-0.349,-0.1965
1854.4166666666667,1854,5,-0.26123,0.10325,-0.3405,-0.1905
1854.5,1854,6,-0.17915,0.10705,-0.2555,-0.1095
1854.5833333333333,1854,7,-0.33816999999999997,0.10474000000000001,-0.4125,-0.274
1854.6666666666667,1854,8,-0.21838000000000002,0.09364,-0.294,-0.154
1854.75,1854,9,-0.13339,0.10116,-0.2105,-0.0695
1854.8333333333333,1854,10,-0.28038,0.09669,-0.3625,-0.2125
1854.9166666666667,1854,11,-0.34462,0.09324,-0.4255,-0.278
1855.0,1854,12,-0.4846,0.10701,-0.565,-0.4175
1855.0833333333333,1855,1,-0.17154,0.09841,-0.2525,-0.101
1855.1666666666667,1855,2,-0.18817,0.09958,-0.2675,-0.1165
1855.25,1855,3,-0.19030999999999998,0.09921,-0.2685,-0.121
1855.3333333333333,1855,4,-0.30872,0.10132999999999999,-0.3875,-0.2375
1855.4166666666667,1855,5,-0.43554,0.09886,-0.51,-0.3675
1855.5,1855,6,-0.32945,0.09779,-0.402,-0.2615
1855.5833333333333,1855,7,-0.31505,0.09161,-0.386,-0.248
