Date,Year,anomaly,total_uncertainty,lower_bound_95pct,upper_bound_95pct
1850-06-01,1850,-0.25486,0.13404000000000002,-0.341,-0.1825
1851-06-01,1851,-0.27375,0.13502999999999998,-0.3645,-0.1965
1852-06-01,1852,-0.044489999999999995,0.11382,-0.1295,0.033
1853-06-01,1853,-0.13847,0.1106,-0.2195,-0.0675
1854-06-01,1854,-0.17915,0.10705,-0.2555,-0.1095
1855-06-01,1855,-0.32945,0.09779,-0.402,-0.2615
1856-06-01,1856,-0.31456999999999996,0.09387999999999999,-0.385,-0.249
1857-06-01,1857,-0.33721,0.09476,-0.4045,-0.273
1858-06-01,1858,-0.55077,0.10465,-0.616,-0.486
1859-06-01,1859,-0.22587,0.10164,-0.2865,-0.165
1860-06-01,1860,-0.28902,0.10826,-0.348,-0.2305
1861-06-01,1861,-0.33718000000000004,0.13357,-0.395,-0.2765
1862-06-01,1862,-0.32514,0.11344000000000001,-0.379,-0.268
1863-06-01,1863,-0.40003,0.11868,-0.4575,-0.3365
1864-06-01,1864,-0.29662,0.10834,-0.348,-0.2365
1865-06-01,1865,-0.24336999999999998,0.12214000000000001,-0.292,-0.1845
1866-06-01,1866,0.0086,0.12120999999999998,-0.0395,0.0705
1867-06-01,1867,-0.29536999999999997,0.12102,-0.3435,-0.2365
1868-06-01,1868,-0.46224,0.12753,-0.506,-0.4035
1869-06-01,1869,-0.39402,0.11475999999999999,-0.436,-0.339
1870-06-01,1870,-0.31429,0.0957,-0.354,-0.26
1871-06-01,1871,-0.20769,0.10732,-0.246,-0.156
1872-06-01,1872,-0.27909,0.09035,-0.3175,-0.224
1873-06-01,1873,-0.42244,0.09962,-0.459,-0.3745
1874-06-01,1874,-0.5655,0.10829000000000001,-0.604,-0.518
1875-06-01,1875,-0.2782,0.08954,-0.314,-0.2315
1876-06-01,1876,-0.41941999999999996,0.1061,-0.4595,-0.376
1877-06-01,1877,-0.09852999999999999,0.1001,-0.1385,-0.056
1878-06-01,1878,-0.045239999999999995,0.10086,-0.083,-0.006
1879-06-01,1879,-0.24098000000000003,0.08417999999999999,-0.28,-0.1995
1880-06-01,1880,-0.38432,0.08915,-0.425,-0.3465
1881-06-01,1881,-0.16372,0.09547,-0.207,-0.1235
1882-06-01,1882,-0.26266,0.08528,-0.3075,-0.221
1883-06-01,1883,-0.18258,0.08176,-0.2315,-0.141
